input_name,search_name,matched_uri,match_count
"Procellaria parkinsoni","Procellaria parkinsoni","http://biodiversity.org.au/afd.taxon/da8ab93e-9f6d-445a-8d9c-a7b3172dea11",1
"Procellaria westlandica","Procellaria westlandica","http://biodiversity.org.au/afd.taxon/6b5027fe-ea3b-4c7a-a0b3-18d347ea67f3",1
"Rhincodon typus","Rhincodon typus","http://biodiversity.org.au/afd.taxon/6904e129-8196-4a7e-99d6-2db05adb58dc",1
"Sousa sahulensis","Sousa sahulensis","http://biodiversity.org.au/afd.taxon/4deec9e6-772f-41c6-8910-1a17eef68598",1
"Spatula querquedula","Spatula querquedula","http://biodiversity.org.au/afd.taxon/a5a1af00-5927-4180-9c90-089a1c7854ae",1
"Stenella attenuata E Tropical Pacific, SE Asian populations","Stenella attenuata","http://biodiversity.org.au/afd.taxon/be54a789-643e-4687-8f97-48361a4a045a",1
"Stenella longirostris E Tropical Pacific, SE Asian populations","Stenella longirostris","http://biodiversity.org.au/afd.taxon/47768940-d139-46b4-8be1-e883afdef248",1
"Stercorarius longicaudus","Stercorarius longicaudus","http://biodiversity.org.au/afd.taxon/1df1b514-4e2d-45d7-b53d-146e265dc060",1
"Stercorarius maccormicki","Stercorarius maccormicki","http://biodiversity.org.au/afd.taxon/3320809b-5761-46db-8d60-e66586d98f8d",1
"Stercorarius parasiticus","Stercorarius parasiticus","http://biodiversity.org.au/afd.taxon/af4aa046-93bb-40b9-9114-71bbe1225eb5",1
"Stercorarius pomarinus","Stercorarius pomarinus","http://biodiversity.org.au/afd.taxon/7980ad72-2f32-4d71-9d39-b8423c18d0f3",1
"Sterna dougallii","Sterna dougallii","http://biodiversity.org.au/afd.taxon/93852469-f5e8-432e-ad53-fbd871afa035",1
"Sterna hirundo","Sterna hirundo","http://biodiversity.org.au/afd.taxon/124b5a02-70b6-4afa-aed6-667574c40b04",2
"Sterna hirundo","Sterna hirundo","http://biodiversity.org.au/afd.taxon/dfa2929d-f108-462e-a9ca-46093224652a",2
"Sterna hirundo hirundo (Western Palearctic populations)","Sterna hirundo hirundo","",0
"Sterna paradisaea (Atlantic populations)","Sterna paradisaea","http://biodiversity.org.au/afd.taxon/e57c3c64-4b61-4769-9c9a-bf7c21bf3746",1
"Sterna sumatrana","Sterna sumatrana","http://biodiversity.org.au/afd.taxon/5c4819b5-6695-4eef-88a8-051ae9465079",1
"Sternula albifrons","Sternula albifrons","http://biodiversity.org.au/afd.taxon/35359d1d-71ec-4f5c-a11e-50dbe43d9a52",1
"Sula dactylatra","Sula dactylatra","http://biodiversity.org.au/afd.taxon/4a3251d7-ba3a-4d76-a3e4-0da76548c0be",1
"Sula leucogaster","Sula leucogaster","http://biodiversity.org.au/afd.taxon/31a2070b-78a5-4600-8956-eff338f14607",1
"Sula sula","Sula sula","http://biodiversity.org.au/afd.taxon/3b0d9a98-3512-4a4b-bc1f-51f0331aa337",1
"Thalassarche bulleri","Thalassarche bulleri","http://biodiversity.org.au/afd.taxon/49da4af7-9827-42ab-94f7-dab04f52199a",2
"Thalassarche bulleri","Thalassarche bulleri","http://biodiversity.org.au/afd.taxon/38130c4a-7934-4a71-821a-85b2b319035f",2
"Thalassarche carteri","Thalassarche carteri","http://biodiversity.org.au/afd.taxon/3191705d-10db-47a8-bbbf-1e232203bd22",1
"Thalassarche cauta","Thalassarche cauta","http://biodiversity.org.au/afd.taxon/b0592117-21ee-4351-a745-cea3e2cbcfcf",1
"Thalassarche chlororhynchos","Thalassarche chlororhynchos","http://biodiversity.org.au/afd.taxon/3191705d-10db-47a8-bbbf-1e232203bd22",1
"Thalassarche chrysostoma","Thalassarche chrysostoma","http://biodiversity.org.au/afd.taxon/7dccf8d0-d4cb-4c64-ac85-93d52190e9e4",1
"Thalassarche eremita","Thalassarche eremita","",0
"Thalassarche impavida","Thalassarche impavida","http://biodiversity.org.au/afd.taxon/bd20a15e-c723-49b5-9186-11ec37fb18e3",1
"Thalassarche melanophris","Thalassarche melanophris","http://biodiversity.org.au/afd.taxon/f2daa035-4db2-4685-bec1-6b89c3274404",1
"Thalassarche salvini","Thalassarche salvini","http://biodiversity.org.au/afd.taxon/59683019-c7b6-45c4-afd9-cf93947fb7ac",1
"Thalassarche steadi","Thalassarche steadi","http://biodiversity.org.au/afd.taxon/80cbab65-bdf7-4fd4-8666-f7579de78e4c",1
"Thalasseus bergii","Thalasseus bergii","http://biodiversity.org.au/afd.taxon/1441c509-faf3-405e-a534-c51cccc4d720",1
"Tringa brevipes","Tringa brevipes","http://biodiversity.org.au/afd.taxon/66cf9e86-f1f3-4716-a4d3-cd4650ff087a",1
"Tringa glareola","Tringa glareola","http://biodiversity.org.au/afd.taxon/2ecff0de-1ba4-4b53-a368-0e01d36c289d",1
"Tringa incana","Tringa incana","http://biodiversity.org.au/afd.taxon/d9c3c304-8f68-4f6b-a472-a96a99a3a4e9",1
"Tringa nebularia","Tringa nebularia","http://biodiversity.org.au/afd.taxon/d792ddc0-bdc2-4764-ab9c-ea9e43cd586e",1
"Tringa stagnatilis","Tringa stagnatilis","http://biodiversity.org.au/afd.taxon/8fa8d059-9ce9-41f4-b604-63408d1de0b4",1
"Tringa totanus","Tringa totanus","http://biodiversity.org.au/afd.taxon/35b4a9a6-6971-49f5-b884-8af33ec14298",1
"Tursiops aduncus (Arafura/Timor Sea populations)","Tursiops aduncus","http://biodiversity.org.au/afd.taxon/46b0789b-9609-4424-8e7f-96b6b39f3b86",1
"Xenus cinereus","Xenus cinereus","http://biodiversity.org.au/afd.taxon/4090ad27-9c69-454d-aa47-23860b9ee50b",1
